distretto,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20
MUZZA,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0
NAVIGLI,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0,0,2.006838758794E-08,1.163922022732E-08,0
