,nome_com,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16
128,SAN DONATO MILANESE,-0.3086,-0.3086,-0.3086,-0.3086,-0.2987,-0.2987,-0.2987,-0.2987,-0.2993,-0.2993,-0.2993,-0.2993,-0.3021,-0.3021,-0.3021,-0.3021
129,SAN GIORGIO SU LEGNANO,-0.0035,-0.0035,-0.0035,-0.0035,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.0022,-0.0022,-0.0022,-0.0022
130,SAN GIULIANO MILANESE,-0.2401,-0.2401,-0.2401,-0.2401,-0.2553,-0.2553,-0.2553,-0.2553,-0.2182,-0.2182,-0.2182,-0.2182,-0.2126,-0.2126,-0.2126,-0.2126
131,SAN VITTORE OLONA,-0.02,-0.02,-0.02,-0.02,-0.028,-0.028,-0.028,-0.028,-0.0264,-0.0264,-0.0264,-0.0264,-0.0262,-0.0262,-0.0262,-0.0262
132,SAN ZENONE AL LAMBRO,-0.0197,-0.0197,-0.0197,-0.0197,-0.0208,-0.0208,-0.0208,-0.0208,-0.0214,-0.0214,-0.0214,-0.0214,-0.02,-0.02,-0.02,-0.02
133,SANTO STEFANO TICINO,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026
134,SEDRIANO,-0.0404,-0.0404,-0.0404,-0.0404,-0.0492,-0.0492,-0.0492,-0.0492,-0.043,-0.043,-0.043,-0.043,-0.0492,-0.0492,-0.0492,-0.0492
135,SEGRATE,-0.4531,-0.4531,-0.4531,-0.4531,-0.4693,-0.4693,-0.4693,-0.4693,-0.4726,-0.4726,-0.4726,-0.4726,-0.457,-0.457,-0.457,-0.457
136,SENAGO,-0.0601,-0.0601,-0.0601,-0.0601,-0.0608,-0.0608,-0.0608,-0.0608,-0.0647,-0.0647,-0.0647,-0.0647,-0.0654,-0.0654,-0.0654,-0.0654
137,SESTO SAN GIOVANNI,-0.4081,-0.4081,-0.4081,-0.4081,-0.4044,-0.4044,-0.4044,-0.4044,-0.3528,-0.3528,-0.3528,-0.3528,-0.3388,-0.3388,-0.3388,-0.3388
138,SETTALA,-0.0611,-0.0611,-0.0611,-0.0611,-0.0631,-0.0631,-0.0631,-0.0631,-0.0653,-0.0653,-0.0653,-0.0653,-0.0535,-0.0535,-0.0535,-0.0535
139,SETTIMO MILANESE,-0.0826,-0.0826,-0.0826,-0.0826,-0.078,-0.078,-0.078,-0.078,-0.0704,-0.0704,-0.0704,-0.0704,-0.0692,-0.0692,-0.0692,-0.0692
140,SIZIANO,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692,-0.0692
141,SOLARO,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,-0.0004,-0.0004
142,SORDIO,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161
143,TAVAZZANO CON VILLAVESCO,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261,-0.1261
144,TREZZANO ROSA,-0.0007,-0.0007,-0.0007,-0.0007,-0.0003,-0.0003,-0.0003,-0.0003,-0.0007,-0.0007,-0.0007,-0.0007,-0.0013,-0.0013,-0.0013,-0.0013
145,TREZZANO SUL NAVIGLIO,-0.1029,-0.1029,-0.1029,-0.1029,-0.1086,-0.1086,-0.1086,-0.1086,-0.1031,-0.1031,-0.1031,-0.1031,-0.0988,-0.0988,-0.0988,-0.0988
146,TREZZO SULL`ADDA,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003
147,TRIBIANO,-0.1542,-0.1542,-0.1542,-0.1542,-0.156,-0.156,-0.156,-0.156,-0.1424,-0.1424,-0.1424,-0.1424,-0.1413,-0.1413,-0.1413,-0.1413
148,TRUCCAZZANO,-0.0317,-0.0317,-0.0317,-0.0317,-0.0258,-0.0258,-0.0258,-0.0258,-0.0253,-0.0253,-0.0253,-0.0253,-0.0201,-0.0201,-0.0201,-0.0201
149,TURBIGO,-0.0501,-0.0501,-0.0501,-0.0501,-0.0544,-0.0544,-0.0544,-0.0544,-0.0512,-0.0512,-0.0512,-0.0512,-0.0493,-0.0493,-0.0493,-0.0493
150,UBOLDO,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027
151,VANZAGHELLO,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258
152,VANZAGO,-0.0063,-0.0063,-0.0063,-0.0063,-0.0068,-0.0068,-0.0068,-0.0068,-0.0064,-0.0064,-0.0064,-0.0064,-0.0067,-0.0067,-0.0067,-0.0067
153,VAPRIO D`ADDA,-0.0534,-0.0534,-0.0534,-0.0534,-0.0585,-0.0585,-0.0585,-0.0585,-0.0495,-0.0495,-0.0495,-0.0495,-0.0515,-0.0515,-0.0515,-0.0515
154,VAREDO,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703,-0.0703
155,VERMEZZO CON ZELO,-0.0259,-0.0259,-0.0259,-0.0259,-0.0244,-0.0244,-0.0244,-0.0244,-0.0249,-0.0249,-0.0249,-0.0249,-0.0249,-0.0249,-0.0249,-0.0249
156,VERNATE,-0.1387,-0.1387,-0.1387,-0.1387,-0.1366,-0.1366,-0.1366,-0.1366,-0.1356,-0.1356,-0.1356,-0.1356,-0.1357,-0.1357,-0.1357,-0.1357
157,VIDIGULFO,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
158,VIGNATE,-0.0588,-0.0588,-0.0588,-0.0588,-0.0582,-0.0582,-0.0582,-0.0582,-0.0601,-0.0601,-0.0601,-0.0601,-0.0655,-0.0655,-0.0655,-0.0655
159,VILLA CORTESE,-0.0062,-0.0062,-0.0062,-0.0062,-0.0054,-0.0054,-0.0054,-0.0054,-0.0061,-0.0061,-0.0061,-0.0061,-0.0075,-0.0075,-0.0075,-0.0075
160,VILLASANTA,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541,-0.0541
161,VIMERCATE,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039
162,VIMODRONE,-0.1175,-0.1323,-0.1308,-0.1339,-0.1387,-0.1358,-0.14,-0.1445,-0.1471,-0.1438,-0.1434,-0.1359,-0.1293,-0.1328,-0.1413,-0.1394
163,VITTUONE,-0.0482,-0.0482,-0.0482,-0.0482,-0.0475,-0.0475,-0.0475,-0.0475,-0.0491,-0.0491,-0.0491,-0.0491,-0.0531,-0.0531,-0.0531,-0.0531
164,VIZZOLO PREDABISSI,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384,-0.0424,-0.0424,-0.0424,-0.0424,-0.043,-0.043,-0.043,-0.043
165,ZELO BUON PERSICO,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886,-0.0886
166,ZIBIDO SAN GIACOMO,-0.0681,-0.0681,-0.0681,-0.0681,-0.0678,-0.0678,-0.0678,-0.0678,-0.0681,-0.0681,-0.0681,-0.0681,-0.0717,-0.0717,-0.0717,-0.0717
