,distretto,code,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16
0,ARLUNO VITTUONE,0,0,3.4574,4.2741,0,0,3.0895,3.4092,0,0,2.6254,4.1271,0,0,2.8484,4.044,0
1,BAREGGIO,0,0,2.0757,2.633,0,0,1.7735,2.1097,0,0,1.5612,2.4826,0,0,1.8261,2.5233,0
2,VALLE OLONA SETTIMO,0,0,2.629,3.6938,0,0,2.234,2.9803,0,0,1.9683,3.2386,0,0,2.2112,3.6716,0
3,CASTANO,0,0,1.0853,1.0853,0,0,1.0853,1.0853,0,0,1.0853,1.0853,0,0,1.0853,1.0853,0
4,CERNUSCO,0,0,0.8472,1.6896,0,0,0.8472,1.6896,0,0,0.8472,1.6896,0,0,0.8472,1.6896,0
5,CORBETTA,0,0,5.3878,5.3878,0,0,5.3878,5.3878,0,0,5.3878,5.3878,0,0,5.3878,5.3878,0
6,CUGGIONO,0,0,3.0667,3.0667,0,0,3.0667,3.0667,0,0,3.0667,3.0667,0,0,3.0667,3.0667,0
7,GARBAGNATE,0,0,0.2265,0.5679,0,0,0.2265,0.5679,0,0,0.2265,0.5679,0,0,0.2265,0.5679,0
8,GORGONZOLA,0,0,2.5225,2.5225,0,0,2.5225,2.5225,0,0,2.5225,2.5225,0,0,2.5225,2.5225,0
9,MAGENTA,0,0,3.6841,3.6841,0,0,3.6841,3.6841,0,0,3.6841,3.6841,0,0,3.6841,3.6841,0
10,MARTESANA,0,0,14.1569,24.0337,0,0,14.1569,24.0337,0,0,14.1569,24.0337,0,0,14.1569,24.0337,0
11,MUZZA,1,-9999,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999.0,-9999
12,NAVIGLI,1,-9999,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999.0,-9999
13,NOVA,0,0,0.0696,0.1547,0,0,0.0696,0.1547,0,0,0.0696,0.1547,0,0,0.0696,0.1547,0
14,PASSIRANA,0,0,0.9609,1.8437,0,0,0.9609,1.8437,0,0,0.9609,1.8437,0,0,0.9609,1.8437,0
15,RHO,0,0,0.0844,0.2907,0,0,0.0844,0.2907,0,0,0.0844,0.2907,0,0,0.0844,0.2907,0
16,VALLE LAMBRO LEVANTE,0,0,0.1543,0.3038,0,0,0.1543,0.3038,0,0,0.1543,0.3038,0,0,0.1543,0.3038,0
17,VALLE LAMBRO PONENTE,0,0,0.0277,0.0277,0,0,0.0277,0.0277,0,0,0.0277,0.0277,0,0,0.0277,0.0277,0
18,VALLE SEVESO,0,0,0.2505,0.5283,0,0,0.2505,0.5283,0,0,0.2505,0.5283,0,0,0.2505,0.5283,0
