Distretto,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20
MUZZA,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0
NAVIGLI,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0,0,0.00000002006838758794,0.00000001163922022732,0
