nome_com;default_Q_SP1;default_Q_SP2;default_Q_SP3;default_Q_SP4;default_Q_SP5;default_Q_SP6;default_Q_SP7;default_Q_SP8;default_Q_SP9;default_Q_SP10;default_Q_SP11;default_Q_SP12;default_Q_SP13;default_Q_SP14;default_Q_SP15;default_Q_SP16;default_Q_SP17;default_Q_SP18;default_Q_SP19;default_Q_SP20
CORBETTA;-0.0985;-0.0985;-0.0985;-0.0985;-0.093;-0.093;-0.093;-0.093;-0.0687;-0.0687;-0.0687;-0.0687;-0.0717;-0.0717;-0.0717;-0.0717;-0.1008;-0.1008;-0.1008;-0.1008
CORMANO;-0.0531;-0.0531;-0.0531;-0.0531;-0.0346;-0.0346;-0.0346;-0.0346;-0.0352;-0.0352;-0.0352;-0.0352;-0.0535;-0.0535;-0.0535;-0.0535;-0.0723;-0.0723;-0.0723;-0.0723
CORNAREDO;-0.0662;-0.0662;-0.0662;-0.0662;-0.0643;-0.0643;-0.0643;-0.0643;-0.0674;-0.0674;-0.0674;-0.0674;-0.0644;-0.0644;-0.0644;-0.0644;-0.0553;-0.0553;-0.0553;-0.0553
CORSICO;-0.0267;-0.0267;-0.0267;-0.0267;-0.0289;-0.0289;-0.0289;-0.0289;-0.0283;-0.0283;-0.0283;-0.0283;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273
CUGGIONO;-0.0366;-0.0366;-0.0366;-0.0366;-0.0436;-0.0436;-0.0436;-0.0436;-0.0348;-0.0348;-0.0348;-0.0348;-0.0178;-0.0178;-0.0178;-0.0178;-0.0129;-0.0129;-0.0129;-0.0129
CUSAGO;-0.0417;-0.0417;-0.0417;-0.0417;-0.0459;-0.0459;-0.0459;-0.0459;-0.0493;-0.0493;-0.0493;-0.0493;-0.0491;-0.0491;-0.0491;-0.0491;-0.0506;-0.0506;-0.0506;-0.0506
CUSANO MILANINO;-0.1198;-0.1198;-0.1198;-0.1198;-0.1038;-0.1038;-0.1038;-0.1038;-0.1353;-0.1353;-0.1353;-0.1353;-0.1255;-0.1255;-0.1255;-0.1255;-0.0878;-0.0878;-0.0878;-0.0878
DESIO;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253
DRESANO;-0.0132;-0.0132;-0.0132;-0.0132;-0.0152;-0.0152;-0.0152;-0.0152;-0.015;-0.015;-0.015;-0.015;-0.0144;-0.0144;-0.0144;-0.0144;-0.0139;-0.0139;-0.0139;-0.0139
GAGGIANO;-0.113;-0.113;-0.113;-0.113;-0.0578;-0.0578;-0.0578;-0.0578;-0.0552;-0.0552;-0.0552;-0.0552;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558
GALGAGNANO;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062
GARBAGNATE MILANESE;-0.0283;-0.0283;-0.0283;-0.0283;-0.0272;-0.0272;-0.0272;-0.0272;-0.0258;-0.0258;-0.0258;-0.0258;-0.0254;-0.0254;-0.0254;-0.0254;-0.024;-0.024;-0.024;-0.024
GESSATE;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0096;-0.0096;-0.0096;-0.0096;-0.0049;-0.0049;-0.0049;-0.0049;-0.0052;-0.0052;-0.0052;-0.0052
GORGONZOLA;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.095;-0.095;-0.095;-0.095;-0.0993;-0.0993;-0.0993;-0.0993;-0.106;-0.106;-0.106;-0.106
GREZZAGO;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016
GUDO VISCONTI;-0.005;-0.005;-0.005;-0.005;-0.0066;-0.0066;-0.0066;-0.0066;-0.0067;-0.0067;-0.0067;-0.0067;-0.007;-0.007;-0.007;-0.007;-0.0067;-0.0067;-0.0067;-0.0067
INVERUNO;-0.0351;-0.0351;-0.0351;-0.0351;-0.0356;-0.0356;-0.0356;-0.0356;-0.0332;-0.0332;-0.0332;-0.0332;-0.0328;-0.0328;-0.0328;-0.0328;-0.0322;-0.0322;-0.0322;-0.0322
INZAGO;-0.0487;-0.0487;-0.0487;-0.0487;-0.0508;-0.0508;-0.0508;-0.0508;-0.0355;-0.0355;-0.0355;-0.0355;-0.0434;-0.0434;-0.0434;-0.0434;-0.0493;-0.0493;-0.0493;-0.0493
LACCHIARELLA;-0.061;-0.061;-0.061;-0.061;-0.0738;-0.0738;-0.0738;-0.0738;-0.0732;-0.0732;-0.0732;-0.0732;-0.078;-0.078;-0.078;-0.078;-0.0779;-0.0779;-0.0779;-0.0779
LAINATE;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0609;-0.0609;-0.0609;-0.0609;-0.08;-0.08;-0.08;-0.08;-0.0792;-0.0792;-0.0792;-0.0792
LANDRIANO;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118
LEGNANO;-0.0916;-0.0916;-0.0916;-0.0916;-0.0903;-0.0903;-0.0903;-0.0903;-0.0819;-0.0819;-0.0819;-0.0819;-0.0802;-0.0802;-0.0802;-0.0802;-0.0922;-0.0922;-0.0922;-0.0922
LIMBIATE;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275
LISCATE;-0.0359;-0.0359;-0.0359;-0.0359;-0.0366;-0.0366;-0.0366;-0.0366;-0.0379;-0.0379;-0.0379;-0.0379;-0.0386;-0.0386;-0.0386;-0.0386;-0.0341;-0.0341;-0.0341;-0.0341
LISSONE;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184
LOCATE DI TRIULZI;-0.0474;-0.0474;-0.0474;-0.0474;-0.0469;-0.0469;-0.0469;-0.0469;-0.0463;-0.0463;-0.0463;-0.0463;-0.0479;-0.0479;-0.0479;-0.0479;-0.0459;-0.0459;-0.0459;-0.0459
LODI;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269
LODI VECCHIO;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038
LONATE POZZOLO;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735
MAGENTA;-0.3737;-0.3737;-0.3737;-0.3737;-0.3704;-0.3704;-0.3704;-0.3704;-0.3723;-0.3723;-0.3723;-0.3723;-0.3821;-0.3821;-0.3821;-0.3821;-0.3717;-0.3717;-0.3717;-0.3717
MAGNAGO;-0.0243;-0.0243;-0.0243;-0.0243;-0.0326;-0.0326;-0.0326;-0.0326;-0.0306;-0.0306;-0.0306;-0.0306;-0.0301;-0.0301;-0.0301;-0.0301;-0.0263;-0.0263;-0.0263;-0.0263
MARCALLO CON CASONE;-0.0366;-0.0366;-0.0366;-0.0366;-0.0318;-0.0318;-0.0318;-0.0318;-0.0314;-0.0314;-0.0314;-0.0314;-0.0321;-0.0321;-0.0321;-0.0321;-0.0319;-0.0319;-0.0319;-0.0319
MASATE;-0.0108;-0.0108;-0.0108;-0.0108;-0.0116;-0.0116;-0.0116;-0.0116;-0.0114;-0.0114;-0.0114;-0.0114;-0.0111;-0.0111;-0.0111;-0.0111;-0.0112;-0.0112;-0.0112;-0.0112
MEDIGLIA;-0.1282;-0.1282;-0.1282;-0.1282;-0.1364;-0.1364;-0.1364;-0.1364;-0.1321;-0.1321;-0.1321;-0.1321;-0.1246;-0.1246;-0.1246;-0.1246;-0.1263;-0.1263;-0.1263;-0.1263
MELEGNANO;-0.064;-0.064;-0.064;-0.064;-0.0674;-0.0674;-0.0674;-0.0674;-0.0641;-0.0641;-0.0641;-0.0641;-0.0583;-0.0583;-0.0583;-0.0583;-0.0563;-0.0563;-0.0563;-0.0563
MELZO;-0.1468;-0.1468;-0.1468;-0.1468;-0.1461;-0.1461;-0.1461;-0.1461;-0.1407;-0.1407;-0.1407;-0.1407;-0.15;-0.15;-0.15;-0.15;-0.1481;-0.1481;-0.1481;-0.1481
MERLINO;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091
MESERO;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0086;-0.0086;-0.0086;-0.0086;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087
MILANO;-9.0822;-9.302;-9.1466;-9.0059;-9.2379;-9.624;-9.9034;-9.2954;-9.1407;-9.3816;-9.4716;-9.2925;-9.301;-9.56;-9.6545;-9.0963;-9.0649;-9.2136;-9.4092;-9.0876
MONTANASO LOMBARDO;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
MONZA;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253
MORIMONDO;-0.009;-0.009;-0.009;-0.009;-0.0103;-0.0103;-0.0103;-0.0103;-0.0102;-0.0102;-0.0102;-0.0102;-0.0128;-0.0128;-0.0128;-0.0128;-0.0108;-0.0108;-0.0108;-0.0108
MUGGIO`;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388
MULAZZANO;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652
NERVIANO;-0.119;-0.119;-0.119;-0.119;-0.1158;-0.1158;-0.1158;-0.1158;-0.1109;-0.1109;-0.1109;-0.1109;-0.1091;-0.1091;-0.1091;-0.1091;-0.1053;-0.1053;-0.1053;-0.1053
NOSATE;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0003;-0.0003;-0.0003;-0.0003
NOVA MILANESE;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08
NOVATE MILANESE;-0.0781;-0.0781;-0.0781;-0.0781;-0.0818;-0.0818;-0.0818;-0.0818;-0.08;-0.08;-0.08;-0.08;-0.0785;-0.0785;-0.0785;-0.0785;-0.0804;-0.0804;-0.0804;-0.0804
NOVIGLIO;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0255;-0.0255;-0.0255;-0.0255;-0.0279;-0.0279;-0.0279;-0.0279;-0.028;-0.028;-0.028;-0.028
OPERA;-0.0906;-0.0906;-0.0906;-0.0906;-0.0896;-0.0896;-0.0896;-0.0896;-0.0898;-0.0898;-0.0898;-0.0898;-0.0929;-0.0929;-0.0929;-0.0929;-0.0881;-0.0881;-0.0881;-0.0881
ORIGGIO;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127
ORNAGO;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035
OSSONA;-0.0076;-0.0076;-0.0076;-0.0076;-0.0078;-0.0078;-0.0078;-0.0078;-0.0074;-0.0074;-0.0074;-0.0074;-0.01;-0.01;-0.01;-0.01;-0.0103;-0.0103;-0.0103;-0.0103
OZZERO;-0.0088;-0.0088;-0.0088;-0.0088;-0.012;-0.012;-0.012;-0.012;-0.0112;-0.0112;-0.0112;-0.0112;-0.0074;-0.0074;-0.0074;-0.0074;-0.0065;-0.0065;-0.0065;-0.0065
